dist,pt,car,walk,bike,ride
0,0.006438245669147738,0.0,0.9484150897805789,0.045146664550273316,0.0
100,0.006327610449135864,0.0,0.910583830071749,0.0830885594791151,0.0
200,0.00598054549533058,0.017405807602964188,0.839438707191748,0.1189315928120385,0.018243346897918816
300,0.005450902187050734,0.05275840556240312,0.749674373204305,0.15060447401810753,0.0415118450281335
400,0.004955647814807161,0.0852400685425383,0.6675968757721392,0.1805885994356018,0.06161880843491355
500,0.004596454177101397,0.1144153097222975,0.5942565497740416,0.20815102508674102,0.0785806612398184
600,0.004529749666026908,0.14262310707701384,0.5243426476509152,0.23359292329753145,0.0949115723085125
700,0.004923378063767409,0.16986609083397136,0.46558065131639925,0.2518380146030129,0.10779186518284924
800,0.005333060454631698,0.19898456574829967,0.40818785004621944,0.26695083084451,0.12054369290633932
900,0.005396555779972778,0.23166097760133228,0.3544954065942443,0.2820125224001066,0.1264345376243441
1000,0.005351732114506731,0.2618361708021551,0.3114769150757107,0.2977458995383251,0.12358928246930245
1100,0.005540426563423938,0.282993435969644,0.29282507993295465,0.3018862408875874,0.11675481664639006
1200,0.008314784249587408,0.30117029503913556,0.2839188095223689,0.2949069404624742,0.11168917072643392
1300,0.02093271273250267,0.3231382345225638,0.26902609806504424,0.27434330506036125,0.11255964961952812
1400,0.04061249199841914,0.3504011288232404,0.25124763304167913,0.23482829734832505,0.12291044878833643
1500,0.05599826518792499,0.3718880572097683,0.24361420760928576,0.1950600435160843,0.13343942647693657
1600,0.06025445751723495,0.37414520052498174,0.2513192425229118,0.1762490983169205,0.13803200111795097
1700,0.06093630973944652,0.37176862072832895,0.2580155561821115,0.16323062193289414,0.1460488914172189
1800,0.06202658075765882,0.3718057106686226,0.25418492258425895,0.14565988063416185,0.16632290535529778
1900,0.0634241190478512,0.3683893381186058,0.2410040750309724,0.13040690409828354,0.19677556370428698
2000,0.06112981468923492,0.36325781221188735,0.22692954852348604,0.12486902832015703,0.22381379625523476
2100,0.05442375301340649,0.3602590323401186,0.21417697411028253,0.1321691343977579,0.23897110613843456
2200,0.04799918639877914,0.3696581724474864,0.19248868365155658,0.13904473137334097,0.2508092261288369
2300,0.03980826036543077,0.41490833953221073,0.1530778772800475,0.1324382386490016,0.25976728417330947
2400,0.03336501054752348,0.46318597230822395,0.1271681400629663,0.12165284177365095,0.2546280353076353
2500,0.03358677043286916,0.4861734669545826,0.12875604813307134,0.1161157305283996,0.2353679839510773
2600,0.03357352686335551,0.488291990271796,0.15376290103592838,0.11583651715906958,0.20853506466985047
2700,0.033989709680119856,0.48984833528614785,0.17998732710267493,0.11518663609685538,0.18098799183420208
2800,0.03584977410606193,0.5033898775019855,0.2006573324414881,0.10957516563226884,0.15052785031819568
2900,0.03623733888003685,0.527540153252669,0.21606216892166458,0.09873468085119551,0.12142565809443402
3000,0.03569518140241692,0.541534220120972,0.2276727459657778,0.09011841784738367,0.10497943466344964
3100,0.042999046292663094,0.5293532894541403,0.2360929267269027,0.09182674269756592,0.09972799482872795
3200,0.06018795463170257,0.5088096402196165,0.23837516384387597,0.09601204784530194,0.09661519345950291
3300,0.08463469175276697,0.5157872285462167,0.20536662270912723,0.09958188144873067,0.09462957554315846
3400,0.10460512401870552,0.5520746975758312,0.12459608099867803,0.12427167055425291,0.0944524268525324
3500,0.1024464220613712,0.5912784977162414,0.053916072072763985,0.1558534147070865,0.09650559344253695
